股票代码,股票简称,现价(元),涨跌幅(%),所属同花顺行业,所属概念,动态市盈率2018.12.13,所属概念数量(个),a股流通市值 (元)2018.12.13,dde大单净额(元)2018.12.13,小单净额(元)2018.12.13,中单净额(元)2018.12.13,特大单净额(元)2018.12.13,小单买入金额(元)2018.12.13,小单卖出金额(元)2018.12.13,中单买入金额(元)2018.12.13,中单卖出金额(元)2018.12.13,dde大单买入金额(元)2018.12.13,dde大单卖出金额(元)2018.12.13,特大单买入金额(元)2018.12.13,特大单卖出金额(元)2018.12.13,特大单净比(%)2018.12.13
600829.SH,人民同泰,6.19,2.15,医药生物-医药商业-医药商业Ⅲ,振兴东北;医疗改革;甲型流感;中医药;健康中国;医保目录;地方国资改革;医疗器械概念;机构重仓;民营医院,13.32,10.,3589510415.43,0.00,-428914.00,428914.00,0.00,3567204.00,3996118.00,1576369.00,1147455.00,0.00,0.00,0.00,0.00,0.00
600833.SH,第一医药,8.65,1.17,医药生物-医药商业-医药商业Ⅲ,医保目录;地方国资改革;上海国资改革,49.55,3.,1929696901.55,0.00,-295021.40,295021.35,0.00,3176627.60,3471648.95,1367717.00,1072695.65,0.00,0.00,0.00,0.00,0.00
600998.SH,九州通,15.50,1.97,医药生物-医药商业-医药商业Ⅲ,参股民营银行;养老概念;MSCI概念;空气净化;融资融券;沪股通;转融券标的;健康中国;互联网+;医疗器械概念;医药电商;机构重仓;互联网医疗,28.30,13.,25730614776.50,-254237.50,1741089.00,-1486851.30,3627772.60,34909676.00,33168587.20,23134864.20,24621715.50,8367498.30,8621735.80,3627772.60,0.00,5.46
601607.SH,上海医药,17.89,0.90,医药生物-医药商业-医药商业Ⅲ,医疗改革;MSCI概念;老字号;禁毒概念;禽流感;大消费;甲型流感;焦虑症;达菲;融资融券;沪股通;转融券标的;医保目录;抗癌;生物疫苗;仿制药;抗肿瘤;生物医药;地方国资改革;保健品;医药电商;上海国资改革;健康中国,11.31,23.,34401307472.02,-8235069.40,30607950.00,-22372881.00,-3172079.40,109283719.00,78675768.60,60268858.00,82641739.00,38512714.60,46747784.00,2369806.60,5541886.00,-1.52
603233.SH,大参林,46.75,0.11,医药生物-医药商业-医药商业Ⅲ,保健品;沪股通;医药电商;平安资管持股,33.88,4.,2999067524.75,162547.00,1278994.00,-1441540.60,-1168557.00,17004522.80,15725529.20,4018497.60,5460038.20,1331104.00,1168557.00,0.00,1168557.00,-5.23
603368.SH,柳药股份,27.40,2.05,医药生物-医药商业-医药商业Ⅲ,沪股通;医药电商;平安资管持股,13.62,3.,5610150000.00,8627496.40,-10221405.00,1593908.70,4116632.00,32637635.20,42859040.30,27681410.50,26087501.80,18714491.30,10086994.90,5409602.00,1292970.00,5.21
603716.SH,塞力斯,18.36,0.66,医药生物-医药商业-医药商业Ⅲ,健康中国;股权转让;兜底增持;体外诊断,39.73,4.,1764515486.88,-87918.50,493643.50,-405725.00,0.00,12508455.00,12014811.50,9475045.00,9880770.00,2245745.50,2333664.00,0.00,0.00,0.00
603883.SH,老百姓,57.90,-0.07,医药生物-医药商业-医药商业Ⅲ,沪股通;医疗器械概念;医药电商;机构重仓,38.11,4.,15459300000.00,75415.00,3271137.00,-3346552.50,-1326588.00,17106149.20,13835011.70,6758141.00,10104693.50,3431764.00,3356349.00,0.00,1326588.00,-4.86
603939.SH,益丰药房,51.47,2.86,医药生物-医药商业-医药商业Ⅲ,沪股通;医药电商,47.11,2.,18667894047.26,3991067.20,3795794.00,-7786861.00,1035663.00,54798899.00,51003105.20,35874019.00,43660880.00,11547122.20,7556055.00,1035663.00,0.00,1.01
000710.SZ,贝瑞基因,34.41,0.64,医药生物-医疗器械服务-医疗器械Ⅲ,深股通;抗癌;抗肿瘤;基因芯片;二胎概念;基因测序;白马股,38.29,7.,2140233180.00,324631.00,1744668.00,-2069298.60,0.00,16235225.90,14490558.30,9984635.10,12053933.70,1292403.00,967772.00,0.00,0.00,0.00
002022.SZ,科华生物,9.99,0.40,医药生物-医疗器械服务-医疗器械Ⅲ,埃博拉概念;抗艾滋病;POCT;手足口病;甲型流感;血液制品;融资融券;深股通;转融券标的;医保目录;分子诊断;体外诊断;医疗器械概念,19.23,13.,4937903523.63,-2285680.80,-824454.00,3110134.40,-2506091.70,18682269.40,19506723.00,17292695.60,14182561.20,11283445.00,13569125.80,2743655.10,5249746.80,-5.30
002223.SZ,鱼跃医疗,19.85,0.86,医药生物-医疗器械服务-医疗器械Ⅲ,医疗改革;健康中国;MSCI潜力股;养老概念;老龄化;融资融券;深股通;转融券标的;互联网+;互联网医疗;医疗器械概念,23.76,11.,16973860055.00,3213218.00,-5890450.00,2677232.40,6427945.00,35573538.70,41463989.10,26422940.50,23745708.10,43554246.90,40341028.90,31844274.00,25416329.00,6.09
002432.SZ,九安医疗,5.69,0.53,医药生物-医疗器械服务-医疗器械Ⅲ,腾讯概念;微信概念;滨海新区;BIT概念;互联网医疗;智能医疗;智能穿戴;移动互联网;小米概念;健康中国;互联网+;医疗器械概念;创投,-30.29,13.,2462665690.49,459049.50,721177.00,-1180226.50,79660.00,12032481.50,11311304.50,5836446.50,7016673.00,1997534.50,1538485.00,674265.00,594605.00,0.40
002551.SZ,尚荣医疗,5.00,1.01,医药生物-医疗器械服务-医疗器械Ⅲ,养老概念;深股通;健康中国;医疗器械概念,25.81,4.,2037865750.00,-327360.00,-17753.30,345113.30,0.00,7044591.80,7062345.10,5644697.00,5299583.70,2026195.70,2353555.70,0.00,0.00,0.00
002901.SZ,大博医疗,33.71,0.54,医药生物-医疗器械服务-医疗器械Ⅲ,健康中国;深股通;养老金持股;3D打印;医疗器械概念,35.87,5.,1351642902.00,320034.00,-2441407.10,2121373.50,-433862.00,12170027.90,14611435.40,8026479.00,5905105.50,3814348.00,3494314.00,685656.00,1119518.00,-1.81
002932.SZ,明德生物,45.76,-1.42,医药生物-医疗器械服务-医疗器械Ⅲ,新股与次新股;医疗器械概念;体外诊断,47.60,3.,761734093.12,-8910729.80,12308156.00,-3397426.40,-5340186.80,42091269.40,29783113.20,21954736.00,25352162.40,5838436.00,14749165.80,564067.00,5904253.80,-7.64
300003.SZ,乐普医疗,24.15,-0.04,医药生物-医疗器械服务-医疗器械Ⅲ,人脑工程;医药电商;心脏支架;央视财经50;检测认证;参股保险;生物医药;融资融券;智能医疗;深股通;健康中国;单抗;转融券标的;医保目录;仿制药;互联网+;抗肿瘤;互联网医疗;体外诊断;医疗器械概念,28.22,20.,33981979974.60,-92198813.00,73867500.00,18331312.00,-49337276.00,205336571.00,131469070.00,162351918.00,144020606.00,211841666.00,304040479.00,114691629.00,164028905.00,-8.51
300030.SZ,阳普医疗,5.70,1.24,医药生物-医疗器械服务-医疗器械Ⅲ,空气净化;埃博拉概念;PPP概念;融资租赁;证金持股;医疗器械概念,87.07,6.,1449915708.90,-332760.00,-573927.20,906687.20,0.00,4821549.50,5395476.70,5358647.20,4451960.00,583140.00,915900.00,0.00,0.00,0.00
300049.SZ,福瑞股份,10.20,-1.16,医药生物-医疗器械服务-医疗器械Ⅲ,超声治疗;冬虫夏草;中医药;互联网医疗;成泉资本持股;并购重组;医疗器械概念,34.36,7.,2325260564.40,-2859017.20,3899307.20,-1040290.00,-2338533.00,11635709.60,7736402.40,13457697.90,14497987.90,10506485.00,13365502.20,4582815.00,6921348.00,-6.57
300171.SZ,东富龙,6.93,-0.86,医药生物-医疗器械服务-医疗器械Ⅲ,养老概念;小额贷款;医药安全;基因测序;医疗器械概念;独角兽概念,49.68,6.,2312034909.03,-3158712.50,7851503.00,-4692789.90,-208159.50,30941711.60,23090209.20,24018443.40,28711233.30,8318638.50,11477351.00,2119239.50,2327399.00,-0.33
300206.SZ,理邦仪器,6.30,2.61,医药生物-医疗器械服务-医疗器械Ⅲ,智能医疗;病毒检测芯片;健康中国;POCT;体外诊断;医疗器械概念,31.13,6.,2165412179.70,1283911.00,-3336325.00,2052414.00,0.00,4817294.00,8153619.00,6578271.00,4525857.00,2293291.00,1009380.00,0.00,0.00,0.00
300216.SZ,千山药机,4.21,0.00,医药生物-医疗器械服务-医疗器械Ⅲ,基因芯片;国开行;智能医疗;人脑工程;智能穿戴;基因测序;医疗器械概念;机器视觉,-2.83,8.,1185656709.12,-1966467.20,3612254.00,-1645786.80,0.00,22774800.20,19162546.20,21213983.00,22859769.80,6270192.80,8236660.00,0.00,0.00,0.00
300238.SZ,冠昊生物,10.88,1.30,医药生物-医疗器械服务-医疗器械Ⅲ,人工角膜;人脑工程;细胞免疫治疗;医疗器械概念;创投,85.63,5.,2676399618.56,3098990.00,-3621897.60,522907.10,534726.00,13117406.40,16739303.50,14481581.80,13958674.70,4902320.00,1803330.00,534726.00,0.00,1.65
300244.SZ,迪安诊断,17.17,1.30,医药生物-医疗器械服务-医疗器械Ⅲ,共享医院;职业教育;阿里巴巴概念;养老概念;人脑工程;央视财经50;深股通;基因芯片;共享经济;白马股;医疗器械概念;基因测序;体外诊断,24.30,13.,6125856522.78,886910.50,-3705006.00,2818095.50,908158.70,23580925.50,27285931.50,18303768.30,15485672.80,7115037.70,6228127.20,2252237.70,1344079.00,1.85
300246.SZ,宝莱特,11.89,0.59,医药生物-医疗器械服务-医疗器械Ⅲ,肾透析;血液制品;BIT概念;智能穿戴;证金持股;医疗器械概念,26.14,6.,1281193454.85,-20768.00,-1983907.80,2004675.80,0.00,6385412.10,8369319.90,5785223.80,3780548.00,2012525.00,2033293.00,0.00,0.00,0.00
300273.SZ,和佳股份,5.18,0.39,医药生物-医疗器械服务-医疗器械Ⅲ,中以自贸区;抗癌;纳米;细胞免疫治疗;融资融券;深股通;健康中国;转融券标的;互联网+;互联网医疗;医疗器械概念,35.52,11.,2911916974.12,2709771.10,-4043967.00,1334196.20,553537.00,14387721.80,18431689.10,16618294.20,15284098.00,8857427.50,6147656.40,1069503.00,515966.00,1.39
300298.SZ,三诺生物,12.21,-0.33,医药生物-医疗器械服务-医疗器械Ⅲ,胰岛素;BIT概念;民营医院;病毒检测芯片;智能医疗;POCT;健康中国;深股通;体外诊断;医疗器械概念,21.75,10.,4530098534.61,381950.70,5448411.10,-5830361.40,624840.00,15846929.60,10398518.90,8172235.20,14002596.60,2869530.80,2487580.10,624840.00,0.00,2.32
300314.SZ,戴维医疗,8.25,1.35,医药生物-医疗器械服务-医疗器械Ⅲ,两会;儿童消费品;基因测序;干细胞;人脑工程;二胎概念;医疗器械概念,47.51,7.,1560311247.00,247800.00,-814864.50,567064.50,0.00,4497961.30,5312825.80,2361948.50,1794884.00,247800.00,0.00,0.00,0.00,0.00
300318.SZ,博晖创新,3.90,-0.76,医药生物-医疗器械服务-医疗器械Ⅲ,病毒检测芯片;不孕不育;分子诊断;血液制品;二胎概念;医药安全;医疗器械概念,103.57,7.,2836879308.90,-2713383.80,1900054.10,813329.70,784000.00,5801741.70,3901687.60,6551873.60,5738543.90,1100063.00,3813446.80,784000.00,0.00,5.83
300326.SZ,凯利泰,9.57,4.14,医药生物-医疗器械服务-医疗器械Ⅲ,股权转让;医疗器械概念,32.43,2.,6164244889.11,3333824.90,1318872.00,-4652697.40,491178.00,28448472.40,27129599.90,13403478.00,18056175.40,14106266.00,10772441.10,3204639.00,2713461.00,0.88
300358.SZ,楚天科技,8.12,1.63,医药生物-医疗器械服务-医疗器械Ⅲ,智能物流;医疗机器人;服务机器人;工业4.0;机器人概念;医药安全,44.18,6.,1782620131.88,438617.00,-588826.00,150209.00,552121.00,8055783.00,8644609.00,6026954.00,5876745.00,1506319.00,1067702.00,552121.00,0.00,3.54
300396.SZ,迪瑞医疗,13.16,0.08,医药生物-医疗器械服务-医疗器械Ⅲ,证金持股;体外诊断;医疗器械概念,17.27,3.,3251867320.80,-374954.00,1299395.80,-924441.80,0.00,10393494.40,9094098.60,3802810.00,4727251.80,421140.00,796094.00,0.00,0.00,0.00
300406.SZ,九强生物,10.52,0.77,医药生物-医疗器械服务-医疗器械Ⅲ,生物医药;深股通;医疗器械概念,20.32,3.,3468420635.08,728832.57,436079.00,-1164911.60,57805.00,7124349.60,6688270.57,4217257.00,5382168.60,3224142.57,2495310.00,583305.00,525500.00,0.40
300412.SZ,迦南科技,7.00,0.29,医药生物-医疗器械服务-医疗器械Ⅲ,工业4.0;医药安全,51.57,2.,1553741175.00,-2961595.00,2883758.00,77837.00,-1296722.00,9643856.40,6760098.40,5145009.00,5067172.00,1735131.00,4696726.00,0.00,1296722.00,-7.85
300439.SZ,美康生物,14.14,1.00,医药生物-医疗器械服务-医疗器械Ⅲ,生物医药;智能医疗;深股通;基因测序,18.54,4.,2830948020.32,738486.00,-1367904.10,629418.10,0.00,10077172.30,11445076.40,5812269.70,5182851.60,2141017.00,1402531.00,0.00,0.00,0.00
300453.SZ,三鑫医疗,9.15,1.22,医药生物-医疗器械服务-医疗器械Ⅲ,健康中国;医疗器械概念,37.30,2.,838639818.75,0.00,57340.20,-57340.19,0.00,6301884.89,6244544.70,926961.00,984301.19,0.00,0.00,0.00,0.00,0.00
300463.SZ,迈克生物,16.68,0.60,医药生物-医疗器械服务-医疗器械Ⅲ,深股通;基因测序;体外诊断,19.64,3.,6119713290.48,4239881.00,-3447651.00,-792229.50,-630040.00,20888247.70,24335899.20,12429422.00,13221651.50,6033232.00,1793351.00,0.00,630040.00,-1.60
300482.SZ,万孚生物,31.40,0.64,医药生物-医疗器械服务-医疗器械Ⅲ,生物医药;分子诊断;抗癌;医学影像;深股通;送转填权;基因测序;体外诊断;医疗器械概念;芬太尼,36.30,10.,6971606352.00,3290811.60,-4308623.00,1017810.60,594116.20,15903313.40,20211935.60,13686236.60,12668426.00,10603993.80,7313182.20,3786579.00,3192462.80,1.48
300529.SZ,健帆生物,44.74,-0.45,医药生物-医疗器械服务-医疗器械Ⅲ,血液制品;深股通;医疗器械概念,45.81,3.,4785604704.60,-1555080.00,7206798.00,-5651717.40,-660505.00,28691708.70,21484911.30,12257571.60,17909289.00,8820306.00,10375386.00,0.00,660505.00,-1.33
300562.SZ,乐心医疗,10.71,0.56,医药生物-医疗器械服务-医疗器械Ⅲ,微信概念;健康中国;区块链应用;智能穿戴;区块链;医疗器械概念,86.45,6.,897066172.80,501685.83,-372862.90,-128822.90,0.00,8508145.57,8881008.50,3584644.00,3713466.90,976737.00,475051.17,0.00,0.00,0.00
300595.SZ,欧普康视,41.01,3.80,医药生物-医疗器械服务-医疗器械Ⅲ,眼科医疗;医疗器械概念,41.70,2.,5652012881.58,6324647.90,7542305.00,-13866953.20,5595288.60,46583676.90,39041371.60,31025344.80,44892298.00,41168580.90,34843933.00,18952325.60,13357037.00,4.71
300633.SZ,开立医疗,31.96,0.60,医药生物-医疗器械服务-医疗器械Ⅲ,医疗器械概念,56.27,1.,4694237499.20,767604.00,17256.00,-784860.00,0.00,8389626.00,8372370.00,4683487.00,5468347.00,2127169.00,1359565.00,0.00,0.00,0.00
300639.SZ,凯普生物,14.78,1.44,医药生物-医疗器械服务-医疗器械Ⅲ,分子诊断;基因测序;体外诊断,25.70,3.,1338728060.00,1259043.00,-1644942.90,385899.90,0.00,6573481.30,8218424.20,3781779.40,3395879.50,1259043.00,0.00,0.00,0.00,0.00
300642.SZ,透景生命,44.99,-0.44,医药生物-医疗器械服务-医疗器械Ⅲ,基因测序;抗癌;分子诊断;白马股;体外诊断;医疗器械概念;高送转预期,33.67,7.,2396459835.00,-1707875.50,1956332.00,-248456.00,-1125920.00,16242290.90,14285959.40,8197903.00,8446359.00,2469194.50,4177070.00,0.00,1125920.00,-4.18
300676.SZ,华大基因,55.88,2.16,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;生物医药;深股通;基因测序;健康中国;医疗器械概念,52.37,6.,13776992100.52,9141583.00,-12479780.00,3338197.00,1463724.00,41911908.00,54391688.00,71380104.00,68041907.00,94393719.00,85252136.00,38769345.00,37305621.00,0.70
300677.SZ,英科医疗,16.84,1.51,医药生物-医疗器械服务-医疗器械Ⅲ,健康中国;白马股;贸易战影响股;医疗器械概念;人民币贬值受益,19.27,5.,1697931226.80,209092.00,698157.50,-907249.00,-505981.00,14049585.50,13351428.50,5700364.00,6607613.00,1742562.00,1533470.00,0.00,505981.00,-2.35
300753.SZ,爱朋医疗,22.75,43.99,医药生物-医疗器械服务-医疗器械Ⅲ,医疗器械概念;新股与次新股,27.81,2.,459550000.00,354991.00,-354991.00,0.00,0.00,2086.00,357077.00,0.00,0.00,354991.00,0.00,0.00,0.00,0.00
300760.SZ,迈瑞医疗,116.20,1.99,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;医学影像;独角兽概念;新股与次新股;医疗器械概念,36.58,5.,14129920000.00,29358509.00,-22925933.00,-6432576.00,28893936.00,83532993.00,106458926.00,108840519.00,115273095.00,145289919.00,115931410.00,80181208.00,51287272.00,8.56
600055.SH,万东医疗,9.67,-0.31,医药生物-医疗器械服务-医疗器械Ⅲ,股权转让;马云概念;医疗改革;智能医疗;健康中国;医学影像;医疗器械概念,44.37,7.,4688480160.00,1041580.66,2925608.40,-3967188.70,0.00,15941668.64,13016060.60,12253194.90,16220383.60,3194870.30,2153289.64,0.00,0.00,0.00
600529.SH,山东药玻,19.20,0.05,医药生物-医疗器械服务-医疗器械Ⅲ,食品包装;地方国资改革;平安资管持股,23.32,3.,6918377376.00,-3147862.94,-6636440.00,9784303.30,-3684478.00,27879698.04,34516138.40,35247196.00,25462892.70,4153324.86,7301187.80,0.00,3684478.00,-5.48
600587.SH,新华医疗,13.85,0.44,医药生物-医疗器械服务-医疗器械Ⅲ,大消费;互联网医疗;融资融券;沪股通;转融券标的;医保目录;山东国资改革;地方国资改革;互联网+;证金持股;医疗器械概念,27.47,11.,5588013351.80,-331681.00,121265.10,210415.90,0.00,12978829.20,12857564.10,13168959.10,12958543.20,2014148.00,2345829.00,0.00,0.00,0.00
603301.SH,振德医疗,33.21,0.88,医药生物-医疗器械服务-医疗器械Ⅲ,新股与次新股;医疗器械概念;人民币贬值受益,29.22,3.,830250000.00,748985.00,-1146188.00,397202.80,0.00,14739305.80,15885493.60,18424150.80,18026948.00,1077956.00,328971.00,0.00,0.00,0.00
603309.SH,维力医疗,10.72,-0.19,医药生物-医疗器械服务-医疗器械Ⅲ,医疗器械概念,38.06,1.,2144000000.00,-795919.00,478659.00,317260.03,0.00,3807007.90,3328348.93,1855139.03,1537879.00,0.00,795919.00,0.00,0.00,0.00
603367.SH,辰欣药业,16.55,2.35,医药生物-医疗器械服务-医疗器械Ⅲ,抗肿瘤;生物医药;沪股通,14.98,3.,4761100690.00,4309655.00,-4391739.00,82084.30,1241709.00,24246090.60,28637829.90,26087560.30,26005476.00,9700258.00,5390603.00,1241709.00,0.00,2.07
603387.SH,基蛋生物,30.22,-0.56,医药生物-医疗器械服务-医疗器械Ⅲ,沪股通;白马股;体外诊断;医疗器械概念,23.39,4.,2783074243.14,2555841.20,-756717.00,-1799123.30,0.00,23764191.50,24520909.40,20465512.80,22264636.10,4492720.00,1936878.80,0.00,0.00,0.00
603658.SH,安图生物,55.48,1.61,医药生物-医疗器械服务-医疗器械Ⅲ,沪股通;体外诊断,42.52,2.,7575117144.00,-1152855.00,485727.00,667128.00,-1473120.00,20558867.30,20073140.30,9198633.00,8531505.00,2006853.00,3159708.00,0.00,1473120.00,-4.64
603880.SH,南卫股份,14.12,6.01,医药生物-医疗器械服务-医疗器械Ⅲ,抗肿瘤;医疗器械概念;并购重组,26.22,3.,895313900.00,-1897480.70,-1248413.00,3145894.00,0.00,41634238.00,42882651.30,36955142.00,33809248.00,12161091.60,14058572.30,0.00,0.00,0.00
603976.SH,正川股份,17.85,0.34,医药生物-医疗器械服务-医疗器械Ⅲ,--,30.46,0.,683653893.30,23684789.50,-10508980.00,-13175809.80,18082780.00,32627136.30,43136116.00,27207572.20,40383382.00,30264975.10,6580185.60,18082780.00,0.00,20.07
603987.SH,康德莱,6.79,1.65,医药生物-医疗器械服务-医疗器械Ⅲ,医疗器械概念,19.85,1.,1806819203.70,-1763028.00,-1843346.00,3606373.70,-72839.00,24014477.20,25857822.90,20373762.70,16767389.00,3465465.00,5228493.00,1125826.00,1198665.00,-0.15
000150.SZ,宜华健康,15.80,1.54,医药生物-医疗器械服务-医疗服务Ⅲ,智能医疗;健康中国;深股通;中医药;互联网+;民营医院;互联网医疗;养老概念,36.11,8.,9096175592.80,-974460.40,-19187160.00,20161620.00,-2322334.40,45915624.40,65102784.00,96418827.00,76257207.00,115237687.80,116212148.20,30117060.80,32439395.20,-0.90
000503.SZ,国新健康,19.11,2.63,医药生物-医疗器械服务-医疗服务Ⅲ,TMT;三沙;海南旅游岛;MSCI潜力股;健康中国;电子商务;网络游戏;融资融券;深股通;东盟北部湾;转融券标的;智能医疗;医保目录;互联网+;海南自贸区;互联网医疗,-113.73,16.,17175684500.52,18255866.00,-19851737.00,1595871.00,7738421.00,75110323.00,94962060.00,143605609.00,142009738.00,102885897.00,84630031.00,26506790.00,18768369.00,2.41
000638.SZ,万方发展,5.66,-0.35,医药生物-医疗器械服务-医疗服务Ⅲ,增强现实;大数据;智能穿戴;股权转让;腾讯概念;京津冀一体化;冬奥会;3D打印;军工;航空发动机;健康中国,-67.84,11.,1751204000.00,-1320641.00,40439.00,1280202.00,-1125897.00,22934981.00,22894542.00,21144268.00,19864066.00,3511784.00,4832425.00,0.00,1125897.00,-2.37
002044.SZ,美年健康,16.39,0.68,医药生物-医疗器械服务-医疗服务Ⅲ,MSCI潜力股;深股通;健康中国;基因测序;MSCI概念,92.71,5.,38427412908.94,-1920568.40,7635433.00,-5714865.00,-14494427.80,63993648.90,56358215.50,55100839.00,60815704.00,48210223.90,50130792.30,16162808.00,30657235.80,-8.66
002173.SZ,创新医疗,8.37,-0.95,医药生物-医疗器械服务-医疗服务Ⅲ,水域改革;细胞免疫治疗;民营医院,23.28,3.,1696468218.75,7925.90,-215849.00,207923.10,0.00,21466100.90,21681949.90,12977064.20,12769141.10,3305226.90,3297301.00,0.00,0.00,0.00
002219.SZ,恒康医疗,3.97,-1.00,医药生物-医疗器械服务-医疗服务Ⅲ,MSCI潜力股;藏药;抗癌;兰新白试验区;单抗;中医药;民营医院;股权转让,-14.36,8.,7404894835.85,-2999000.00,3188284.00,-189283.60,-1313572.00,22858313.60,19670030.00,28826279.50,29015563.10,10613041.00,13612041.00,2781648.00,4095220.00,-2.11
300015.SZ,爱尔眼科,30.25,-0.20,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;参股360;人工角膜;中概股回归;融资融券;深股通;转融券标的;眼科医疗;医疗改革;医疗器械概念;互联网医疗;民营医院;创投,60.43,13.,55539319803.00,63958685.20,-9274839.00,-54683846.00,19901014.20,96939634.00,106214473.20,114642974.00,169326820.00,125240777.00,61282091.80,43378925.00,23477910.80,5.91
300143.SZ,星普医科,9.00,0.67,医药生物-医疗器械服务-医疗服务Ⅲ,抗癌;冬虫夏草;民营医院;医疗器械概念,54.50,4.,2371343796.00,-886852.16,2536151.40,-1649299.20,90969.00,12685256.46,10149105.10,6173368.80,7822668.00,2094909.00,2981761.16,910000.00,819031.00,0.43
300149.SZ,量子生物,14.70,-0.07,医药生物-医疗器械服务-医疗服务Ⅲ,生物农药;创新药;生物医药;保健品;二胎概念,49.04,5.,5955644421.30,2136964.00,2748331.10,-4885295.10,7854716.20,10259444.20,7511113.10,6896940.00,11782235.10,16077551.70,13940587.70,12174160.00,4319443.80,23.63
300347.SZ,泰格医药,48.28,0.58,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;深股通;医疗器械概念;创新药,56.97,4.,15912136739.16,-55129413.70,36630624.00,18498790.00,-12870054.20,96313694.70,59683071.00,108660789.00,90161999.00,31590348.50,86719762.20,6905960.00,19776014.20,-5.44
300404.SZ,博济医药,12.67,0.40,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;创新药,207.72,2.,1075010856.50,230659.00,-52326.20,-178332.80,0.00,9555816.90,9608143.10,5086534.10,5264866.90,1029611.00,798952.00,0.00,0.00,0.00
600721.SH,百花村,5.77,1.23,医药生物-医疗器械服务-医疗服务Ⅲ,焦炭;涉矿;新疆振兴;新疆建设兵团;生物医药;创新药,24.72,6.,1760736808.61,-59244.18,-73491.60,132735.80,0.00,5739561.00,5813052.62,4249745.80,4117010.00,796678.82,855923.00,0.00,0.00,0.00
600763.SH,通策医疗,54.92,5.07,医药生物-医疗器械服务-医疗服务Ⅲ,民营医院;儿童医药医疗;沪股通;医疗改革;医疗器械概念;二胎概念,47.96,6.,17609548800.00,11500807.80,-8322863.00,-3177945.00,-873525.00,42417801.40,50740664.20,72597638.00,75775583.00,32591108.60,21090300.80,5065930.00,5939455.00,-0.59
600767.SH,ST运盛,4.82,0.84,医药生物-医疗器械服务-医疗服务Ⅲ,ST板块;智能医疗;云计算;互联网金融;互联网+;互联网医疗,-67.15,6.,1643187077.24,-387971.00,73409.00,314561.99,0.00,1669650.17,1596241.16,2386502.80,2071940.81,0.00,387971.00,0.00,0.00,0.00
600896.SH,*ST海投,3.88,-0.51,医药生物-医疗器械服务-医疗服务Ⅲ,东盟北部湾;民营医院;航运系;三沙;央企控股;参股券商;ST板块;海南自贸区,69.65,8.,2239257699.24,-202455.00,634352.00,-431897.00,0.00,1871999.00,1237647.00,2529620.00,2961517.00,462600.00,665055.00,0.00,0.00,0.00
603108.SH,润达医疗,8.99,2.63,医药生物-医疗器械服务-医疗服务Ⅲ,生物医药;沪股通;医疗器械概念;白马股;体外诊断;并购重组,16.07,6.,4569456132.94,-2034778.00,6748071.00,-4713293.20,0.00,28475068.80,21726997.60,13016063.60,17729356.80,2002663.00,4037441.00,0.00,0.00,0.00
603127.SH,昭衍新药,51.50,0.39,医药生物-医疗器械服务-医疗服务Ⅲ,细胞免疫治疗,77.62,1.,2874187190.00,-1025956.10,2753723.80,-1727767.70,0.00,11989128.20,9235404.40,20980984.20,22708751.90,4879935.70,5905891.80,0.00,0.00,0.00
603259.SH,药明康德,80.53,-0.15,医药生物-医疗器械服务-医疗服务Ⅲ,独角兽概念;新股与次新股;基因测序;创新药;白马股;沪股通,36.48,6.,8391109714.68,-22133355.70,14485934.00,7647422.00,-21025111.10,97254355.70,82768422.00,104694407.00,97046985.00,97174355.70,119307711.40,54738042.30,75763153.40,-7.03
603882.SH,金域医学,22.99,2.41,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;基因测序;基因芯片;冷链物流;医疗器械概念;海南自贸区;机构重仓;体外诊断;沪股通;华为概念,48.05,10.,6428909070.32,-262956.00,-3450961.00,3713917.40,-1047880.00,23791115.70,27242077.10,18202676.40,14488759.00,3481907.00,3744863.00,0.00,1047880.00,-2.30
000004.SZ,国农科技,17.05,2.90,医药生物-生物制品-生物制品Ⅲ,网络游戏;生物医药;壳资源;中科系,-414.33,4.,1415374787.20,308299.40,-1646301.50,1338002.10,0.00,5540859.70,7187161.20,5666940.20,4328938.10,667349.40,359050.00,0.00,0.00,0.00
000403.SZ,振兴生化,26.14,0.35,医药生物-生物制品-生物制品Ⅲ,血液制品;生物医药;摘帽,66.48,3.,6934645938.36,394500.00,-1406.20,-393093.80,0.00,2419163.60,2420569.80,2191056.84,2584150.64,394500.00,0.00,0.00,0.00,0.00
000518.SZ,四环生物,3.68,1.10,医药生物-生物制品-生物制品Ⅲ,肾透析;干细胞;抗癌;外贸;登革热;体外诊断;医保目录;生物医药,-302.55,8.,3788691350.24,-129241.00,-783398.40,912639.40,-106506.00,3270223.00,4053621.40,6561581.70,5648942.30,1487875.00,1617116.00,732000.00,838506.00,-0.94
